,comuna_id,circle_id,x_coord,y_coord,overlap_wrt_circle,overlap_wrt_comuna,median_income_comuna,median_income_circle
128,13110,85,-70.54631108659272,-33.54941176470588,0.5081286551978792,0.0226239565233945,543913.5,862039.5
129,13110,107,-70.48,-33.53176470588235,0.6135801483543982,0.0273190863337199,543913.5,
130,13110,106,-70.49882352941177,-33.53176470588235,1.0,0.04452407139798898,543913.5,
131,13110,88,-70.48984049835742,-33.54941176470588,0.11844802533631674,0.005273788337024974,543913.5,
132,13110,83,-70.58395814541625,-33.54941176470588,1.0,0.04452407139798898,543913.5,658825.0
133,13110,84,-70.56513461600449,-33.54941176470588,0.7490615291174406,0.03335126900391173,543913.5,604061.5
134,13110,66,-70.57411764705883,-33.56705882352941,0.29583994165607097,0.013171998684671797,543913.5,627097.5
135,13111,80,-70.64042873365155,-33.54941176470588,0.0709361095886415,0.022302980315979392,442401.5,413682.0
136,13111,100,-70.61176470588235,-33.53176470588235,0.6114850703390181,0.1922566597798048,442401.5,413842.0
137,13111,63,-70.63058823529411,-33.56705882352941,0.029451848334292156,0.009259938238480836,442401.5,405821.5
138,13111,81,-70.62160520423977,-33.54941176470588,0.9130127460507762,0.28705979819718397,442401.5,497990.0
139,13111,82,-70.60278167482801,-33.54941176470588,0.011387674623376559,0.003580392051985515,442401.5,494346.0
140,13111,116,-70.64042873365155,-33.514117647058825,0.045341955739569,0.014255937521974597,442401.5,420955.0
141,13111,117,-70.62160520423977,-33.514117647058825,0.4221072677253931,0.13271449671971755,442401.5,410885.0
142,13111,99,-70.63058823529411,-33.53176470588235,0.777346645547881,0.2444050996718754,442401.5,484285.5
143,13111,118,-70.60278167482801,-33.514117647058825,0.028778002170080134,0.009048074664011207,442401.5,602146.5
144,13112,62,-70.64941176470589,-33.56705882352941,0.9648065633314239,0.10001941359972354,420000.0,410000.0
145,13112,28,-70.61176470588235,-33.60235294117647,0.4428227161687707,0.04590647502117247,420000.0,400000.0
146,13112,81,-70.62160520423977,-33.54941176470588,0.04400121763725201,0.00456151124278781,420000.0,497990.0
147,13112,46,-70.60278167482801,-33.58470588235294,0.12074324350936874,0.012517191394548164,420000.0,435005.5
148,13112,61,-70.66823529411765,-33.56705882352941,0.0009363581247321364,9.707022538451956e-05,420000.0,349499.0
149,13112,8,-70.64042873365155,-33.62,0.6227648886673903,0.06456069158560702,420000.0,
150,13112,25,-70.66823529411765,-33.60235294117647,0.4152769546971569,0.043050865395098385,420000.0,315044.0
151,13112,44,-70.64042873365155,-33.58470588235294,1.0,0.10366784120369374,420000.0,380797.5
152,13112,26,-70.64941176470589,-33.60235294117647,0.9094888020280234,0.09428474070517877,420000.0,
153,13112,80,-70.64042873365155,-33.54941176470588,0.06628073620745735,0.006871180836018602,420000.0,413682.0
154,13112,64,-70.61176470588235,-33.56705882352941,0.5247761063176993,0.05440240605723596,420000.0,418466.0
155,13112,63,-70.63058823529411,-33.56705882352941,0.9642710921844514,0.09996390246189003,420000.0,405821.5
156,13112,27,-70.63058823529411,-33.60235294117647,0.909174508204773,0.09425215854301874,420000.0,270000.0
157,13112,43,-70.65925226306331,-33.58470588235294,0.7371016292129242,0.07641373464822937,420000.0,400000.0
158,13112,79,-70.65925226306331,-33.54941176470588,0.026905379136873308,0.0027892225718865564,420000.0,425452.0
159,13112,45,-70.62160520423977,-33.58470588235294,1.0,0.10366784120369374,420000.0,365000.0
160,13112,9,-70.62160520423977,-33.62,0.16466239565737614,0.017070195085228657,420000.0,323792.5
