,district_id,Indice_de_pauvretmultidimensionnelle2014,Intensit_de_privation_des_pauvres2014,Taux_de_pauvretglobale2014 ,Taux_de_pauvretmultidimensionnelle2014,circle_id,x_coord,y_coord,overlap_wrt_circle,overlap_wrt_district
40,180,0.335722357,35.36194992,1.747365,0.949388742,54,-7.6612324689455695,33.58178814285714,0.0005651960898615161,0.00011660214536748425
41,180,0.335722357,35.36194992,1.747365,0.949388742,28,-7.6612324689455695,33.546777571428585,0.9965450361391661,0.20559110590735852
42,181,0.337353945,35.78306198,2.307446,0.942775488,46,-7.571794249999944,33.564282857142864,0.033703003064537815,0.02358742253895424
43,181,0.337353945,35.78306198,2.307446,0.942775488,58,-7.582495468945599,33.58178814285714,0.37751011428188136,0.26420466334244597
44,181,0.337353945,35.78306198,2.307446,0.942775488,47,-7.552109999999952,33.564282857142864,0.2245519851307058,0.15715521091982435
45,181,0.337353945,35.78306198,2.307446,0.942775488,59,-7.562811218945606,33.58178814285714,0.5054663523848975,0.3537562635025686
46,181,0.337353945,35.78306198,2.307446,0.942775488,60,-7.5431269689456135,33.58178814285714,0.11068246819032392,0.07746235965561526
47,183,0.31386503600000004,35.70518112,1.592447,0.879046202,5,-7.6021797189455915,33.51176700000002,0.046597306559305496,0.012382534518924702
48,183,0.31386503600000004,35.70518112,1.592447,0.879046202,18,-7.61116274999993,33.5292722857143,1.0,0.26573498412757307
49,183,0.31386503600000004,35.70518112,1.592447,0.879046202,4,-7.621863968945584,33.51176700000002,0.2714428018162168,0.07213184863217635
50,183,0.31386503600000004,35.70518112,1.592447,0.879046202,17,-7.630846999999922,33.5292722857143,0.6369509578131561,0.16926015266452152
51,183,0.31386503600000004,35.70518112,1.592447,0.879046202,31,-7.6021797189455915,33.546777571428585,0.4059349526483461,0.1078711181988354
52,183,0.31386503600000004,35.70518112,1.592447,0.879046202,29,-7.641548218945577,33.546777571428585,0.02447283028298532,0.006503287166805894
53,183,0.31386503600000004,35.70518112,1.592447,0.879046202,30,-7.621863968945584,33.546777571428585,0.22129944788944247,0.05880700527234168
54,183,0.31386503600000004,35.70518112,1.592447,0.879046202,19,-7.591478499999937,33.5292722857143,0.7227966027810927,0.1920723437674974
55,183,0.31386503600000004,35.70518112,1.592447,0.879046202,20,-7.571794249999944,33.5292722857143,0.016527242009725874,0.004391866393127064
56,184,0.302391768,35.87693787,1.8090979999999999,0.8428583740000001,61,-7.5234427189456206,33.58178814285714,0.4970566087030915,0.06988923522671807
