,code,zips,fb_keys,Users,Males,Females,High school grad,College grad,Away from hometown,Away from family,Recently moved,Single,Married,Civil union,Engaged,iOS,Android,Frequent international travelers,Frequent Travelers,Returned from travels 1 week ago,Technology early adopters,2G,3G,4G,WiFi,Expats,Gambling,Casino,Catholic Church,Buddhism,Atheism,Cooking,Restaurants,Fast food,LGBT community,Homosexuality,Same-sex marriage,Fitness and wellness,Older devices,Mac,iPhone X,Huawei,VIVO,Oppo,iPhone 8,iPhone 8 Plus,Galaxy S8,Galaxy S8+,Galaxy S9,Galaxy S9+,smartphone e tablet,tablet,Cherry Mobile,Samsung Android,Windows,income
121,1136,30228,US:30228,15000.0,0.42444444444444446,0.548888888888889,0.21333333333333335,0.30444444444444446,0.15777777777777777,0.15333333333333332,,0.15333333333333332,0.32888888888888884,,,0.2711111111111111,0.3022222222222222,0.10444444444444445,0.5311111111111111,,0.09333333333333334,,,0.3088888888888889,0.4155555555555555,0.09111111111111111,0.15333333333333332,0.1,0.09666666666666666,,,0.5022222222222222,0.4377777777777778,0.2977777777777778,0.10666666666666667,,0.08,0.66,0.16222222222222224,,,,,,,,,,,,0.591111111111111,0.34444444444444444,,0.18666666666666668,0.08,59661.0
122,1137,30230,US:30230,4533.333333333333,0.45588235294117646,0.536764705882353,0.25,0.2794117647058824,,,,,0.3455882352941177,,,0.2647058823529412,0.3602941176470588,,0.5808823529411765,,,,,0.375,0.35294117647058826,,0.2647058823529412,,,,,0.5808823529411765,0.5147058823529412,0.3382352941176471,,,,0.7058823529411765,,,,,,,,,,,,,0.6764705882352942,0.40441176470588236,,0.24264705882352944,,45079.0
123,1138,30233,US:30233,10866.666666666666,0.4202453987730062,0.5736196319018405,0.2699386503067485,0.2822085889570552,0.1196319018404908,0.11042944785276074,,0.18404907975460125,0.3680981595092025,,,0.26073619631901845,0.2791411042944786,,0.5245398773006136,,0.10122699386503069,,,0.3987730061349693,0.36503067484662577,,0.37730061349693256,0.10122699386503069,0.15644171779141106,,,0.588957055214724,0.5276073619631901,0.3680981595092025,0.18404907975460125,,0.11042944785276074,0.6901840490797546,0.3680981595092025,,,,,,,,,,,,0.6226993865030676,0.3282208588957055,,0.18098159509202455,,42137.0
124,1139,30234,US:30234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41667.0
125,1140,30236,US:30236,14666.666666666666,0.4545454545454546,0.5613636363636364,0.1931818181818182,0.30454545454545456,0.14772727272727273,0.1431818181818182,,0.19090909090909092,0.25,,,0.2613636363636364,0.3386363636363637,0.1090909090909091,0.5409090909090909,,0.1090909090909091,,,0.375,0.38863636363636367,0.15,0.15,0.1090909090909091,0.10227272727272728,,,0.4636363636363637,0.3977272727272727,0.27954545454545454,0.12613636363636363,,0.08181818181818182,0.6340909090909091,0.16818181818181818,,,,,,,,,,,,0.6704545454545455,0.375,,0.21136363636363636,0.08863636363636364,47014.0
126,1141,30238,US:30238,6633.333333333333,0.44221105527638194,0.5477386934673367,0.2035175879396985,0.30150753768844224,0.21105527638190955,0.21105527638190955,,0.21105527638190955,0.271356783919598,,,0.30150753768844224,0.3819095477386935,0.1658291457286432,0.5276381909547739,,,,,0.24623115577889448,0.4321608040201005,0.17336683417085427,,,,,,0.46733668341708545,0.39698492462311563,0.2512562814070352,,,,0.6130653266331658,,,,,,,,,,,,,0.577889447236181,0.4824120603015076,,0.2185929648241206,,47161.0
127,1142,30248,US:30248,10700.0,0.4205607476635514,0.5700934579439252,0.2461059190031153,0.31152647975077885,0.14953271028037382,0.14953271028037382,,0.1370716510903427,0.4236760124610592,,,0.308411214953271,0.2616822429906542,0.12149532710280374,0.5327102803738317,,,,,0.35514018691588783,0.45794392523364486,,0.16822429906542055,,0.11214953271028037,,,0.6012461059190031,0.5482866043613708,0.3489096573208723,0.102803738317757,,,0.7570093457943925,0.1651090342679128,,,,,,,,,,,,0.6323987538940811,0.36760124610591904,,0.17445482866043616,,65076.0
128,1143,30251,US:30251,1200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36680.0
129,1144,30252,US:30252,10300.0,0.41423948220064727,0.5922330097087378,0.20388349514563106,0.3365695792880259,0.16828478964401294,0.16828478964401294,,0.12297734627831716,0.42071197411003236,,,0.3300970873786408,0.23948220064724918,0.13592233009708737,0.5307443365695793,,,,,0.30097087378640774,0.459546925566343,,0.1650485436893204,,,,,0.5566343042071197,0.511326860841424,0.32038834951456313,,,,0.6990291262135923,0.14886731391585759,,,,,,,,,,,,0.56957928802589,0.3300970873786408,,0.1650485436893204,,77020.0
130,1145,30253,US:30253,32333.333333333332,0.4020618556701031,0.577319587628866,0.22268041237113403,0.3391752577319588,0.16701030927835053,0.16391752577319588,,0.14536082474226805,0.3917525773195876,,,0.32268041237113404,0.2525773195876289,0.10721649484536082,0.5154639175257733,,0.060309278350515465,,,0.2690721649484536,0.443298969072165,0.07010309278350516,0.14329896907216494,0.06288659793814433,0.09175257731958762,0.034020618556701035,,0.5876288659793815,0.5463917525773196,0.36082474226804123,0.0979381443298969,,0.08350515463917527,0.7628865979381444,0.1556701030927835,,,,,,,0.03505154639175258,,,,,0.5979381443298969,0.34845360824742266,,0.16391752577319588,0.06804123711340207,61306.0
