,upz_id,x_coord,y_coord,zat_id,upz_name,local_name,local_id,population,median_income,circle_id,lat,lon,overlap_wrt_circle,overlap_wrt_upz
55,16,-74.046167,4.700934,852,SANTA BARBARA,USAQUEN,1,10824,6,151,4.6941,-74.0308,0.21462533223060037,0.14601445583432124
56,17,-74.065961,4.766514,855,SAN JOSE DE BAVARIA,SUBA,11,11957,5,120,4.758,-74.0661,0.37048061882536565,0.2522798444483511
57,17,-74.065961,4.766514,855,SAN JOSE DE BAVARIA,SUBA,11,11957,5,140,4.774,-74.0395,0.014698224846570589,0.01000879854313674
58,17,-74.065961,4.766514,855,SAN JOSE DE BAVARIA,SUBA,11,11957,5,121,4.774,-74.0571,0.27373357384961533,0.18639966552102952
59,17,-74.065961,4.766514,855,SAN JOSE DE BAVARIA,SUBA,11,11957,5,139,4.758,-74.0485,0.6189802208016073,0.42149636414325703
60,17,-74.065961,4.766514,855,SAN JOSE DE BAVARIA,SUBA,11,11957,5,101,4.774,-74.0748,0.03366246833926638,0.022922554770350163
61,18,-74.062228,4.748485,46,BRITALIA,SUBA,11,13497,3,120,4.758,-74.0661,0.20231177557633448,0.19385655096571536
62,18,-74.062228,4.748485,46,BRITALIA,SUBA,11,13497,3,119,4.742,-74.0571,0.6415899835975551,0.6147759862225287
63,18,-74.062228,4.748485,46,BRITALIA,SUBA,11,13497,3,139,4.758,-74.0485,0.08751121374416332,0.08385385387943504
64,18,-74.062228,4.748485,46,BRITALIA,SUBA,11,13497,3,138,4.742,-74.0395,0.009754402003793338,0.009346735867458001
65,19,-74.056012,4.713462,89,EL PRADO,SUBA,11,17201,3,97,4.7101,-74.0748,0.083006482490142,0.05372317201563271
66,19,-74.056012,4.713462,89,EL PRADO,SUBA,11,17201,3,117,4.7101,-74.0571,0.5055866286105392,0.3272240504935693
67,19,-74.056012,4.713462,89,EL PRADO,SUBA,11,17201,3,118,4.726,-74.0661,0.18648617883532687,0.12069694755826016
68,19,-74.056012,4.713462,89,EL PRADO,SUBA,11,17201,3,119,4.742,-74.0571,0.25921456829753214,0.16776796731821697
69,19,-74.056012,4.713462,89,EL PRADO,SUBA,11,17201,3,137,4.726,-74.0485,0.34823920285161186,0.2253861871523807
70,20,-74.059796,4.705616,140,LA ALHAMBRA,SUBA,11,9537,5,135,4.6941,-74.0485,0.04363681816746655,0.04750678233861813
71,20,-74.059796,4.705616,140,LA ALHAMBRA,SUBA,11,9537,5,115,4.6781,-74.0571,0.0009693973954552188,0.0010553691355033124
72,20,-74.059796,4.705616,140,LA ALHAMBRA,SUBA,11,9537,5,116,4.6941,-74.0661,0.5491081695028728,0.5978062421695702
73,20,-74.059796,4.705616,140,LA ALHAMBRA,SUBA,11,9537,5,117,4.7101,-74.0571,0.23116836357240017,0.25166970446063
74,21,-74.061183,4.68313,167,LOS ANDES,BARRIOS UNIDOS,12,13835,5,116,4.6941,-74.0661,0.14607324890997342,0.16740797192884171
75,21,-74.061183,4.68313,167,LOS ANDES,BARRIOS UNIDOS,12,13835,5,115,4.6781,-74.0571,0.2566365325126118,0.2941195718681192
76,21,-74.061183,4.68313,167,LOS ANDES,BARRIOS UNIDOS,12,13835,5,95,4.6781,-74.0748,0.3940101200711489,0.45155725372551003
77,22,-74.081368,4.665259,218,DOCE DE OCTUBRE,BARRIOS UNIDOS,12,9722,4,74,4.6781,-74.0924,0.11407019608711218,0.08989686767989977
78,22,-74.081368,4.665259,218,DOCE DE OCTUBRE,BARRIOS UNIDOS,12,9722,4,73,4.6621,-74.1014,0.0006576717237840638,0.0005183003971052816
79,22,-74.081368,4.665259,218,DOCE DE OCTUBRE,BARRIOS UNIDOS,12,9722,4,94,4.6621,-74.0838,0.49859009677810884,0.3929307522390951
80,22,-74.081368,4.665259,218,DOCE DE OCTUBRE,BARRIOS UNIDOS,12,9722,4,95,4.6781,-74.0748,0.532367505048455,0.4195501787502092
81,23,-74.070127,4.755217,30,CASA BLANCA SUBA,SUBA,11,0,0,99,4.742,-74.0748,0.37581709771175226,0.33373530062843443
82,23,-74.070127,4.755217,30,CASA BLANCA SUBA,SUBA,11,0,0,119,4.742,-74.0571,0.09875233197323237,0.0876946243252707
83,23,-74.070127,4.755217,30,CASA BLANCA SUBA,SUBA,11,0,0,120,4.758,-74.0661,0.34993140879489626,0.31074813951936997
84,23,-74.070127,4.755217,30,CASA BLANCA SUBA,SUBA,11,0,0,100,4.758,-74.0838,1.790224464468843e-06,1.5897656159862467e-06
85,23,-74.070127,4.755217,30,CASA BLANCA SUBA,SUBA,11,0,0,118,4.726,-74.0661,0.18111295735225286,0.16083298933892218
86,24,-74.078605,4.721481,97,NIZA,SUBA,11,24921,6,98,4.726,-74.0838,0.4481933679798848,0.19770387576567108
87,24,-74.078605,4.721481,97,NIZA,SUBA,11,24921,6,76,4.7101,-74.0924,0.0870899131155532,0.03841648402930668
88,24,-74.078605,4.721481,97,NIZA,SUBA,11,24921,6,99,4.742,-74.0748,0.0002890048192317068,0.0001274837535740376
89,24,-74.078605,4.721481,97,NIZA,SUBA,11,24921,6,118,4.726,-74.0661,0.6323163029821504,0.27892287735726173
90,24,-74.078605,4.721481,97,NIZA,SUBA,11,24921,6,117,4.7101,-74.0571,0.018032202649285567,0.007954237182098953
91,24,-74.078605,4.721481,97,NIZA,SUBA,11,24921,6,116,4.6941,-74.0661,0.0131120566762596,0.005783897329493751
92,24,-74.078605,4.721481,97,NIZA,SUBA,11,24921,6,97,4.7101,-74.0748,0.8847187726691019,0.3902608624212826
93,24,-74.078605,4.721481,97,NIZA,SUBA,11,24921,6,137,4.726,-74.0485,0.000236360197123852,0.00010426153171061827
94,25,-74.077721,4.695401,135,LA FLORESTA,SUBA,11,10384,4,97,4.7101,-74.0748,0.02811805971892401,0.03632999297828058
95,25,-74.077721,4.695401,135,LA FLORESTA,SUBA,11,10384,4,116,4.6941,-74.0661,0.2915462797394688,0.3766929297987864
96,25,-74.077721,4.695401,135,LA FLORESTA,SUBA,11,10384,4,95,4.6781,-74.0748,0.010575800940372764,0.013664483884883734
97,25,-74.077721,4.695401,135,LA FLORESTA,SUBA,11,10384,4,96,4.6941,-74.0838,0.34234547244963476,0.4423281241511396
98,26,-74.101519,4.673694,211,LAS FERIAS,ENGATIVA,10,4304,3,74,4.6781,-74.0924,0.8404659678727268,0.5512112666666025
99,26,-74.101519,4.673694,211,LAS FERIAS,ENGATIVA,10,4304,3,73,4.6621,-74.1014,0.039914153991896656,0.02617730190252136
100,26,-74.101519,4.673694,211,LAS FERIAS,ENGATIVA,10,4304,3,53,4.6781,-74.1101,0.03336753722294813,0.021883768244369252
101,26,-74.101519,4.673694,211,LAS FERIAS,ENGATIVA,10,4304,3,96,4.6941,-74.0838,0.3951746053008469,0.25917134431234945
102,26,-74.101519,4.673694,211,LAS FERIAS,ENGATIVA,10,4304,3,95,4.6781,-74.0748,0.04381695696970162,0.0287369165153427
103,27,-74.102942,4.756463,38,SUBA,SUBA,11,5776,3,78,4.742,-74.0924,0.3880161384307175,0.19914403262612396
104,27,-74.102942,4.756463,38,SUBA,SUBA,11,5776,3,120,4.758,-74.0661,0.03337662941195058,0.017130103411279508
105,27,-74.102942,4.756463,38,SUBA,SUBA,11,5776,3,100,4.758,-74.0838,0.524355671813118,0.26911845326219574
106,27,-74.102942,4.756463,38,SUBA,SUBA,11,5776,3,99,4.742,-74.0748,0.3868533020324908,0.19854722257960405
107,27,-74.102942,4.756463,38,SUBA,SUBA,11,5776,3,79,4.758,-74.1014,0.45892422357573326,0.235536647837144
108,28,-74.08082,4.73881,836,EL RINCON,SUBA,11,10116,2,96,4.6941,-74.0838,0.14376188176910246,0.04659453141045098
